iso3,Country,5G Status,5G Status: Confidence,GSA 5G commercially active,GSMA 5G commercially active,Opensignal 5G commercially active,TeleGeography 5G commercially active
ABW,Aruba,Not launched,High,False,False,False,False
AFG,Afghanistan,Not launched,High,False,False,False,False
AGO,Angola,Launched,High,True,False,False,True
AIA,Anguilla,Not launched,High,False,False,False,False
ALB,Albania,Launched,High,False,True,False,True
AND,Andorra,Not launched,High,False,False,False,False
ARE,United Arab Emirates,Launched,High,True,True,True,True
ARG,Argentina,Launched,High,True,True,False,True
ARM,Armenia,Launched,High,True,False,False,True
ASM,American Samoa,Launched,High,False,True,False,True
ATG,Antigua and Barbuda,Not launched,High,False,False,False,False
AUS,Australia,Launched,High,True,True,True,True
AUT,Austria,Launched,High,True,True,True,True
AZE,Azerbaijan,Launched,High,False,False,False,True
BDI,Burundi,Launched,High,True,False,False,False
BEL,Belgium,Launched,High,True,True,True,True
BEN,Benin,Launched,High,False,True,False,False
BFA,Burkina Faso,Not launched,High,False,False,False,False
BGD,Bangladesh,Not launched,High,False,False,False,False
BGR,Bulgaria,Launched,High,True,True,True,True
BHR,Bahrain,Launched,High,True,True,True,True
BHS,Bahamas,Not launched,High,False,False,False,False
BIH,Bosnia and Herzegovina,Not launched,High,False,False,False,False
BLR,Belarus,Launched,High,False,False,False,True
BLZ,Belize,Not launched,High,False,False,False,False
BMU,Bermuda,Launched,High,False,True,False,True
BOL,Bolivia,Not launched,High,False,False,False,False
BRA,Brazil,Launched,High,True,True,True,True
BRB,Barbados,Launched,High,True,False,False,False
BRN,Brunei,Launched,High,True,True,False,False
BTN,Bhutan,Launched,High,True,True,False,True
BWA,Botswana,Launched,High,True,True,False,True
CAF,Central African Republic,Not launched,High,False,False,False,False
CAN,Canada,Launched,High,True,True,True,True
CHE,Switzerland,Launched,High,True,True,True,True
CHL,Chile,Launched,High,True,True,True,True
CHN,China,Launched,High,True,True,False,True
CIV,Côte d'Ivoire,Launched,High,False,True,False,False
CMR,Cameroon,Not launched,High,False,False,False,False
COD,Democratic Republic of the Congo,Not launched,High,False,False,False,False
COG,Republic of Congo,Launched,High,True,True,False,True
COK,Cook Islands,Not launched,High,False,False,False,False
COL,Colombia,Launched,High,True,True,True,True
COM,Comoros,Not launched,High,False,False,False,False
CPV,Cape Verde,Not launched,High,False,False,False,False
CRI,Costa Rica,Launched,High,False,True,False,True
CUB,Cuba,Not launched,High,False,False,False,False
CYM,Cayman Islands,Launched,High,False,True,False,True
CYP,Cyprus,Launched,High,True,True,False,True
CZE,Czech Republic,Launched,High,True,True,True,True
DEU,Germany,Launched,High,True,True,True,True
DJI,Djibouti,Not launched,High,False,False,False,False
DMA,Dominica,Not launched,High,False,False,False,False
DNK,Denmark,Launched,High,True,True,True,True
DOM,Dominican Republic,Launched,High,True,True,False,True
DZA,Algeria,Not launched,High,False,False,False,False
ECU,Ecuador,Not launched,High,False,False,False,False
EGY,Egypt,Not launched,High,False,False,False,False
ERI,Eritrea,Not launched,High,False,False,False,False
ESP,Spain,Launched,High,True,True,True,True
EST,Estonia,Launched,High,True,True,False,True
ETH,Ethiopia,Launched,High,True,True,False,True
FIN,Finland,Launched,High,True,True,True,True
FJI,Fiji,Not launched,High,False,False,False,False
FLK,Falkland Islands,Not launched,High,False,False,False,False
FRA,France,Launched,High,True,True,True,True
FRO,Faroe Islands,Not launched,High,False,False,False,False
FSM,Federated States of Micronesia,Not launched,High,False,False,False,False
