location,country_iso3,land_area_segmentation,population_density_segmentation,region,income_category,country_name_public
Andorra,AND,Small,High,Europe and Central Asia,High income,Andorra
India,IND,Large,High,South Asia,Lower middle income,India
United States of America,USA,Large,Low,North America,High income,USA
Indonesia,IDN,Large,High,East Asia and Pacific,Upper middle income,Indonesia
Brazil,BRA,Large,Low,Latin America and Caribbean,Upper middle income,Brazil
Russian Federation,RUS,Large,Low,Europe and Central Asia,High income,Russia
Nigeria,NGA,Large,High,Sub-Saharan Africa,Lower middle income,Nigeria
Japan,JPN,Large,High,East Asia and Pacific,High income,Japan
Bangladesh,BGD,Small,High,South Asia,Lower middle income,Bangladesh
Pakistan,PAK,Large,High,South Asia,Lower middle income,Pakistan
Mexico,MEX,Large,Medium,Latin America and Caribbean,Upper middle income,Mexico
Philippines,PHL,Large,High,East Asia and Pacific,Lower middle income,Philippines
Vietnam,VNM,Large,High,East Asia and Pacific,Lower middle income,Vietnam
Egypt,EGY,Large,Medium,Middle East and North Africa,Lower middle income,Egypt
Turkey,TUR,Large,Medium,Europe and Central Asia,Upper middle income,Türkiye
Germany,DEU,Large,High,Europe and Central Asia,High income,Germany
Thailand,THA,Large,High,East Asia and Pacific,Upper middle income,Thailand
United Kingdom,GBR,Large,High,Europe and Central Asia,High income,United Kingdom
Iran,IRN,Large,Medium,Middle East and North Africa,Upper middle income,Iran
France,FRA,Large,Medium,Europe and Central Asia,High income,France
Italy,ITA,Large,High,Europe and Central Asia,High income,Italy
Ethiopia,ETH,Large,Medium,Sub-Saharan Africa,Low income,Ethiopia
South Korea,KOR,Small,High,East Asia and Pacific,High income,South Korea
South Africa,ZAF,Large,Low,Sub-Saharan Africa,Upper middle income,South Africa
Myanmar,MMR,Large,Medium,East Asia and Pacific,Lower middle income,Myanmar
Spain,ESP,Large,Medium,Europe and Central Asia,High income,Spain
Colombia,COL,Large,Low,Latin America and Caribbean,Upper middle income,Colombia
Poland,POL,Large,Medium,Europe and Central Asia,High income,Poland
Anguilla,AIA,#N/A,#N/A,Europe and Central Asia,,Anguilla
Algeria,DZA,Large,Low,Middle East and North Africa,Upper middle income,Algeria
Argentina,ARG,Large,Low,Latin America and Caribbean,Upper middle income,Argentina
Ukraine,UKR,Large,Medium,Europe and Central Asia,Upper middle income,Ukraine
Kenya,KEN,Large,Medium,Sub-Saharan Africa,Lower middle income,Kenya
Canada,CAN,Large,Low,North America,High income,Canada
Tanzania,TZA,Large,Medium,Sub-Saharan Africa,Lower middle income,Tanzania
Morocco,MAR,Large,Medium,Middle East and North Africa,Lower middle income,Morocco
Malaysia,MYS,Large,Medium,East Asia and Pacific,Upper middle income,Malaysia
Saudi Arabia,SAU,Large,Low,Middle East and North Africa,High income,Saudi Arabia
Uzbekistan,UZB,Large,Medium,Europe and Central Asia,Lower middle income,Uzbekistan
Iraq,IRQ,Large,Medium,Middle East and North Africa,Upper middle income,Iraq
Australia,AUS,Large,Low,East Asia and Pacific,High income,Australia
Peru,PER,Large,Low,Latin America and Caribbean,Upper middle income,Peru
Uganda,UGA,Large,High,Sub-Saharan Africa,Low income,Uganda
Taiwan,TWN,Small,High,East Asia and Pacific,High income,Taiwan
Angola,AGO,Large,Low,Sub-Saharan Africa,Lower middle income,Angola
Ghana,GHA,Large,High,Sub-Saharan Africa,Lower middle income,Ghana
Sudan,SDN,Large,Low,Sub-Saharan Africa,Low income,Sudan
Venezuela,VEN,Large,Low,Latin America and Caribbean,Upper middle income,Venezuela
Romania,ROU,Large,Medium,Europe and Central Asia,High income,Romania
Nepal,NPL,Small,High,South Asia,Lower middle income,Nepal
Netherlands,NLD,Small,High,Europe and Central Asia,High income,Netherlands
Chile,CHL,Large,Low,Latin America and Caribbean,High income,Chile
C?¥te d'Ivoire,CIV,Large,Medium,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire
Sri Lanka,LKA,Small,High,South Asia,Lower middle income,Sri Lanka
Afghanistan,AFG,Large,Medium,South Asia,Low income,Afghanistan
