report_start_date,start_date,end_date,network_country_iso3,location,granularity,country_name,country_iso3,name,category,canonical_network_id,network_name_mapped,network_category,metric,uci,lci,passed,devices,readings
2024-10-01,2024-10-01,2024-12-30,DNK,Denmark,countries,Denmark,DNK,download_5g_v1_0,silver-focus,2384,3,silver-focus,338.6940238,345.8976461,329.6742636,TRUE,1114,4455
2024-10-01,2024-10-01,2024-12-30,DNK,Denmark,countries,Denmark,DNK,download_5g_v1_0,silver-focus,23811,Telia,silver-focus,324.6658932,331.6790907,317.9295104,TRUE,1396,5964
2024-10-01,2024-10-01,2024-12-30,DNK,Denmark,countries,Denmark,DNK,download_5g_v1_0,silver-focus,2380,Telenor,silver-focus,312.3917121,318.1840846,306.4895759,TRUE,1562,6465
2024-10-01,2024-10-01,2024-12-30,VNM,Vietnam,countries,Vietnam,VNM,download_5g_v1_0,bronze-focus,4521,Vinaphone,bronze-focus,430.2825138,444.080132,416.3691388,TRUE,475,1492
2024-10-01,2024-10-01,2024-12-30,QAT,Qatar,countries,Qatar,QAT,download_5g_v1_0,silver-focus,4270,Ooredoo,silver-focus,429.2642544,433.6418557,424.6867431,TRUE,4775,38507
2024-10-01,2024-10-01,2024-12-30,GTM,Guatemala,countries,Guatemala,GTM,download_5g_v1_0,bronze-focus,7040,Claro,bronze-focus,395.2551161,398.0344426,392.4616331,TRUE,4860,29650
2024-10-01,2024-10-01,2024-12-30,BRA,Brazil,countries,Brazil,BRA,download_5g_v1_0,platinum-focus,7244,Vivo,platinum-focus,365.1393878,365.7126469,364.6121984,TRUE,140564,870679
2024-10-01,2024-10-01,2024-12-30,COL,Colombia,countries,Colombia,COL,download_5g_v1_0,gold-focus,7324,Movistar,gold-focus,363.220098,368.6137951,357.2525968,TRUE,1701,8014
2024-10-01,2024-10-01,2024-12-30,SGP,Singapore,countries,Singapore,SGP,download_5g_v1_0,gold-focus,5252,M1,gold-focus,361.225038,365.9167852,355.8613756,TRUE,1988,16628
2024-10-01,2024-10-01,2024-12-30,SGP,Singapore,countries,Singapore,SGP,download_5g_v1_0,gold-focus,5253,StarHub,gold-focus,356.8656924,362.0331482,352.0691877,TRUE,2114,18444
2024-10-01,2024-10-01,2024-12-30,SGP,Singapore,countries,Singapore,SGP,download_5g_v1_0,gold-focus,5250,Singtel,gold-focus,355.8104585,358.1411001,353.4312999,TRUE,7467,59346
2024-10-01,2024-10-01,2024-12-30,BRA,Brazil,countries,Brazil,BRA,download_5g_v1_0,platinum-focus,7243,Claro,platinum-focus,354.4914169,355.0405308,353.8822893,TRUE,138368,957612
